idx,time_s,raw,distance_m,distance_mm
155,0.015000,53759,27.324101,27324
156,0.015000,44546,22.641407,22641
157,0.015000,44754,22.747127,22747
158,0.015000,65489,33.286111,33286
159,0.015000,65454,33.268322,33268
160,0.015000,65198,33.138205,33138
161,0.015000,1535,0.780195,780
162,0.015000,42495,21.598945,21599
163,0.015000,23714,12.053121,12053
164,0.015000,41982,21.338202,21338
165,0.015000,23813,12.103440,12103
166,0.015000,23973,12.184763,12185
167,0.015000,65187,33.132614,33133
168,0.015000,65117,33.097035,33097
169,0.015000,64605,32.836800,32837
170,0.015000,3070,1.560390,1560
171,0.015000,19454,9.887890,9888
172,0.015000,18428,9.366404,9366
173,0.015000,47627,24.207388,24207
174,0.015000,47947,24.370034,24370
175,0.016000,64839,32.955736,32956
176,0.016000,64954,33.014187,33014
177,0.016000,63931,32.494226,32494
178,0.016000,6141,3.121288,3121
179,0.016000,38909,19.776288,19776
180,0.016000,36857,18.733317,18733
181,0.016000,29719,15.105284,15105
182,0.016000,30615,15.560694,15561
183,0.016000,64399,32.732097,32732
184,0.016000,64116,32.588256,32588
185,0.016000,62071,31.548844,31549
186,0.016000,12283,6.243084,6243
187,0.016000,12282,6.242575,6243
188,0.016000,8178,4.156634,4157
189,0.016000,59439,30.211076,30211
190,0.016000,60975,30.991779,30992
191,0.016000,63007,32.024585,32025
192,0.017000,62952,31.996630,31997
193,0.017000,58862,29.917804,29918
194,0.017000,24566,12.486167,12486
195,0.017000,24565,12.485659,12486
196,0.017000,52517,26.692829,26693
197,0.017000,16357,8.313777,8314
198,0.017000,53343,27.112661,27113
199,0.017000,56671,28.804184,28804
200,0.017000,60735,30.869794,30870
201,0.017000,60112,30.553142,30553
202,0.017000,51933,26.396000,26396
203,0.017000,49133,24.972843,24973
204,0.017000,49130,24.971318,24971
205,0.017000,32714,16.627553,16628
206,0.017000,41151,20.915830,20916
207,0.017000,47807,24.298876,24299
208,0.017000,55935,28.430097,28430
209,0.017000,54688,27.796284,27796
210,0.017000,38330,19.481999,19482
211,0.017000,32730,16.635686,16636
212,0.017000,32725,16.633144,16633
213,0.017000,65429,33.255615,33256
214,0.017000,16511,8.392050,8392
215,0.018000,29823,15.158144,15158
216,0.018000,46335,23.550703,23551
217,0.018000,43840,22.282568,22283
218,0.018000,11124,5.653998,5654
219,0.018000,65460,33.271371,33271
220,0.018000,65451,33.266797,33267
221,0.018000,65323,33.201738,33202
222,0.018000,33279,16.914726,16915
223,0.018000,59903,30.446914,30447
224,0.018000,26879,13.661796,13662
225,0.018000,22401,11.385762,11386
226,0.018000,22505,11.438622,11439
227,0.018000,65384,33.232743,33233
228,0.018000,65367,33.224102,33224
229,0.018000,53591,27.238712,27239
230,0.018000,65367,33.224102,33224
231,0.018000,767,0.389843,390
232,0.018000,54015,27.454218,27454
233,0.018000,53759,27.324101,27324
234,0.018000,44546,22.641407,22641
235,0.018000,44754,22.747127,22747
236,0.018000,65489,33.286111,33286
237,0.019000,65454,33.268322,33268
238,0.019000,65198,33.138205,33138
239,0.019000,1535,0.780195,780
240,0.019000,42495,21.598945,21599
241,0.019000,41982,21.338202,21338
242,0.019000,23813,12.103440,12103
243,0.019000,23973,12.184763,12185
244,0.019000,65187,33.132614,33133
245,0.019000,65117,33.097035,33097
246,0.019000,64605,32.836800,32837
247,0.019000,3070,1.560390,1560
248,0.019000,19454,9.887890,9888
249,0.019000,18428,9.366404,9366
250,0.019000,47627,24.207388,24207
251,0.019000,47947,24.370034,24370
252,0.019000,64839,32.955736,32956
253,0.019000,64954,33.014187,33014
254,0.020000,63931,32.494226,32494
255,0.020000,6141,3.121288,3121
256,0.020000,38909,19.776288,19776
257,0.020000,36857,18.733317,18733
258,0.020000,29719,15.105284,15105
259,0.020000,30615,15.560694,15561
260,0.020000,64399,32.732097,32732
261,0.020000,64116,32.588256,32588
262,0.020000,4728,2.403102,2403
263,0.020000,62071,31.548844,31549
264,0.020000,12283,6.243084,6243
265,0.020000,12282,6.242575,6243
266,0.020000,8178,4.156634,4157
267,0.020000,59439,30.211076,30211
268,0.020000,60975,30.991779,30992
269,0.020000,63007,32.024585,32025
270,0.020000,62952,31.996630,31997
271,0.020000,58862,29.917804,29918
272,0.020000,24566,12.486167,12486
273,0.020000,24565,12.485659,12486
274,0.020000,16357,8.313777,8314
275,0.021000,53343,27.112661,27113
276,0.021000,56671,28.804184,28804
277,0.021000,60735,30.869794,30870
278,0.021000,60112,30.553142,30553
279,0.021000,51933,26.396000,26396
280,0.021000,49133,24.972843,24973
281,0.021000,49130,24.971318,24971
282,0.021000,32714,16.627553,16628
283,0.021000,41151,20.915830,20916
284,0.021000,47807,24.298876,24299
285,0.021000,55935,28.430097,28430
286,0.021000,54688,27.796284,27796
287,0.021000,38330,19.481999,19482
288,0.021000,32730,16.635686,16636
289,0.021000,32725,16.633144,16633
290,0.021000,65429,33.255615,33256
291,0.021000,16511,8.392050,8392
292,0.021000,29823,15.158144,15158
293,0.021000,46335,23.550703,23551
294,0.021000,43840,22.282568,22283
295,0.021000,11136,5.660098,5660
296,0.022000,11124,5.653998,5654
297,0.022000,65460,33.271371,33271
298,0.022000,65451,33.266797,33267
299,0.022000,65323,33.201738,33202
300,0.022000,33279,16.914726,16915
301,0.022000,59903,30.446914,30447
302,0.022000,26879,13.661796,13662
303,0.022000,22401,11.385762,11386
304,0.022000,22505,11.438622,11439
305,0.022000,65384,33.232743,33233
306,0.022000,65367,33.224102,33224
307,0.022000,65367,33.224102,33224
308,0.022000,767,0.389843,390
309,0.022000,54015,27.454218,27454
310,0.022000,53759,27.324101,27324
311,0.022000,44546,22.641407,22641
312,0.022000,44754,22.747127,22747
313,0.022000,65489,33.286111,33286
314,0.022000,65454,33.268322,33268
315,0.022000,65198,33.138205,33138
316,0.022000,1535,0.780195,780
317,0.023000,42495,21.598945,21599
318,0.023000,41982,21.338202,21338
319,0.023000,23813,12.103440,12103
320,0.023000,23973,12.184763,12185
321,0.023000,65187,33.132614,33133
322,0.023000,65117,33.097035,33097
323,0.023000,64605,32.836800,32837
324,0.023000,3070,1.560390,1560
325,0.023000,19454,9.887890,9888
326,0.023000,18428,9.366404,9366
327,0.023000,47627,24.207388,24207
328,0.023000,48128,24.462031,24462
329,0.023000,47947,24.370034,24370
330,0.023000,64839,32.955736,32956
331,0.023000,64954,33.014187,33014
332,0.023000,63931,32.494226,32494
333,0.023000,6141,3.121288,3121
334,0.023000,38909,19.776288,19776
335,0.023000,36857,18.733317,18733
336,0.023000,29719,15.105284,15105
337,0.023000,30615,15.560694,15561
338,0.024000,64399,32.732097,32732
339,0.024000,64116,32.588256,32588
340,0.024000,62071,31.548844,31549
341,0.024000,12283,6.243084,6243
342,0.024000,12282,6.242575,6243
343,0.024000,8178,4.156634,4157
344,0.024000,59439,30.211076,30211
345,0.024000,60975,30.991779,30992
346,0.024000,63007,32.024585,32025
347,0.024000,62952,31.996630,31997
348,0.024000,58862,29.917804,29918
349,0.024000,24566,12.486167,12486
350,0.024000,24565,12.485659,12486
351,0.024000,16357,8.313777,8314
352,0.024000,53343,27.112661,27113
353,0.024000,56671,28.804184,28804
354,0.024000,60735,30.869794,30870
355,0.024000,60112,30.553142,30553
356,0.024000,51933,26.396000,26396
357,0.024000,49133,24.972843,24973
358,0.024000,49130,24.971318,24971
359,0.025000,32714,16.627553,16628
360,0.025000,41151,20.915830,20916
361,0.025000,49152,24.982500,24983
362,0.025000,47807,24.298876,24299
363,0.025000,55935,28.430097,28430
364,0.025000,54688,27.796284,27796
365,0.025000,38330,19.481999,19482
366,0.025000,32730,16.635686,16636
367,0.025000,32725,16.633144,16633
368,0.025000,65429,33.255615,33256
369,0.025000,16511,8.392050,8392
370,0.025000,29823,15.158144,15158
371,0.025000,46335,23.550703,23551
372,0.025000,43840,22.282568,22283
373,0.025000,11124,5.653998,5654
374,0.025000,65460,33.271371,33271
375,0.025000,65451,33.266797,33267
376,0.025000,65323,33.201738,33202
377,0.025000,33279,16.914726,16915
378,0.026000,59903,30.446914,30447
379,0.026000,26879,13.661796,13662
380,0.026000,22401,11.385762,11386
381,0.026000,22505,11.438622,11439
382,0.026000,65384,33.232743,33233
383,0.026000,65367,33.224102,33224
384,0.026000,65367,33.224102,33224
385,0.026000,767,0.389843,390
386,0.026000,54015,27.454218,27454
387,0.026000,53759,27.324101,27324
388,0.026000,44546,22.641407,22641
389,0.026000,44754,22.747127,22747
390,0.026000,65489,33.286111,33286
391,0.026000,65454,33.268322,33268
392,0.026000,65198,33.138205,33138
393,0.026000,1535,0.780195,780
394,0.026000,1,0.000508,1
395,0.026000,42495,21.598945,21599
396,0.026000,41982,21.338202,21338
397,0.027000,23813,12.103440,12103
398,0.027000,23973,12.184763,12185
399,0.027000,65187,33.132614,33133
400,0.027000,65117,33.097035,33097
401,0.027000,64605,32.836800,32837
402,0.027000,3070,1.560390,1560
403,0.027000,19454,9.887890,9888
404,0.027000,18428,9.366404,9366
405,0.027000,47627,24.207388,24207
406,0.027000,47947,24.370034,24370
407,0.027000,64839,32.955736,32956
408,0.027000,64954,33.014187,33014
409,0.027000,63931,32.494226,32494
410,0.027000,6141,3.121288,3121
411,0.027000,38909,19.776288,19776
412,0.027000,36857,18.733317,18733
413,0.028000,29719,15.105284,15105
414,0.028000,30615,15.560694,15561
415,0.028000,64399,32.732097,32732
416,0.028000,64116,32.588256,32588
417,0.028000,62071,31.548844,31549
418,0.028000,12283,6.243084,6243
419,0.028000,12282,6.242575,6243
420,0.028000,8178,4.156634,4157
